block,street,floor,area,year,lease,price,date
694A, Woodlands Dr 62,10 to 12,"68.00
Model A",2018,"94 years
10 months ","$470,000.00",12/01/22
694C, Woodlands Dr 62,13 to 15,"68.00
Model A",2018,"94 years
10 months ","$434,000.00",12/01/22
784B, Woodlands Rise,13 to 15,"68.00
Model A",2018,"94 years
9 months ","$445,000.00",12/01/22
784C, Woodlands Rise,04 to 06,"68.00
Model A",2018,"94 years
8 months ","$410,000.00",12/01/22
784C, Woodlands Rise,07 to 09,"68.00
Model A",2018,"94 years
8 months ","$413,000.00",12/01/22
784C, Woodlands Rise,10 to 12,"68.00
Model A",2018,"94 years
9 months ","$430,000.00",12/01/22
102, Woodlands St 13,10 to 12,"67.00
New Generation",1985,"61 years
5 months ","$358,000.00",12/01/22
145, Woodlands St 13,04 to 06,"68.00
New Generation",1985,"61 years
4 months ","$358,000.00",12/01/22
149, Woodlands St 13,04 to 06,"68.00
New Generation",1985,"61 years
4 months ","$348,000.00",12/01/22
155, Woodlands St 13,07 to 09,"73.00
Model A",1985,"61 years
4 months ","$368,000.00",12/01/22
155, Woodlands St 13,04 to 06,"73.00
Model A",1985,"61 years
4 months ","$395,000.00",12/01/22
161, Woodlands St 13,04 to 06,"73.00
Model A",1990,"66 years
5 months ","$370,000.00",12/01/22
302A, Woodlands St 31,25 to 27,"67.00
Model A",2016,"92 years
11 months ","$460,000.00",12/01/22
313, Woodlands St 31,04 to 06,"73.00
Model A",1993,"69 years
10 months ","$377,000.00",12/01/22
24, Marsiling Dr,01 to 03,"67.00
New Generation",1977,"53 years
8 months ","$302,000.00",11/01/22
202, Marsiling Dr,07 to 09,"68.00
New Generation",1981,"57 years
8 months ","$315,000.00",11/01/22
204, Marsiling Dr,07 to 09,"68.00
New Generation",1981,"57 years
6 months ","$345,000.00",11/01/22
206, Marsiling Dr,10 to 12,"68.00
New Generation",1981,"57 years
6 months ","$328,000.00",11/01/22
12, Marsiling Lane,10 to 12,"76.00
Improved",1976,"52 years
5 months ","$362,000.00",11/01/22
12A, Marsiling Lane,13 to 15,"67.00
Model A",2013,"89 years
8 months ","$421,000.00",11/01/22
15, Marsiling Lane,10 to 12,"65.00
Improved",1976,"52 years
4 months ","$300,000.00",11/01/22
18, Marsiling Lane,01 to 03,"73.00
Improved",1987,"63 years
7 months ","$305,000.00",11/01/22
19, Marsiling Lane,01 to 03,"60.00
Improved",1987,"63 years
7 months ","$310,000.00",11/01/22
129, Marsiling Rise,01 to 03,"69.00
Improved",1985,"61 years
3 months ","$298,000.00",11/01/22
129, Marsiling Rise,04 to 06,"60.00
Improved",1985,"61 years
3 months ","$310,000.00",11/01/22
130, Marsiling Rise,10 to 12,"69.00
Improved",1985,"61 years
3 months ","$340,000.00",11/01/22
131, Marsiling Rise,07 to 09,"60.00
Improved",1985,"61 years
4 months ","$310,000.00",11/01/22
693A, Woodlands Ave 6,07 to 09,"68.00
Model A",2018,95 years,"$420,000.00",11/01/22
573A, Woodlands Dr 16,07 to 09,"68.00
Model A",2018,"94 years
9 months ","$423,000.00",11/01/22
573C, Woodlands Dr 16,07 to 09,"68.00
Model A",2018,"94 years
9 months ","$408,000.00",11/01/22
574B, Woodlands Dr 16,10 to 12,"68.00
Model A",2018,"94 years
8 months ","$446,888.00",11/01/22
574B, Woodlands Dr 16,04 to 06,"68.00
Model A",2018,"94 years
8 months ","$448,000.00",11/01/22
886A, Woodlands Dr 50,01 to 03,"67.00
Premium Apartment",2015,"91 years
4 months ","$395,000.00",11/01/22
887B, Woodlands Dr 50,07 to 09,"67.00
Premium Apartment",2015,"91 years
4 months ","$407,000.00",11/01/22
694A, Woodlands Dr 62,01 to 03,"68.00
Model A",2018,"94 years
11 months ","$400,000.00",11/01/22
694A, Woodlands Dr 62,04 to 06,"68.00
Model A",2018,"94 years
11 months ","$440,000.00",11/01/22
784B, Woodlands Rise,10 to 12,"68.00
Model A",2018,"94 years
9 months ","$416,000.00",11/01/22
784C, Woodlands Rise,01 to 03,"68.00
Model A",2018,"94 years
9 months ","$380,000.00",11/01/22
149, Woodlands St 13,04 to 06,"68.00
New Generation",1985,"61 years
5 months ","$366,000.00",11/01/22
151, Woodlands St 13,04 to 06,"73.00
Model A",1985,"61 years
5 months ","$352,000.00",11/01/22
155, Woodlands St 13,04 to 06,"73.00
Model A",1985,"61 years
5 months ","$345,000.00",11/01/22
157, Woodlands St 13,10 to 12,"73.00
Model A",1985,"61 years
5 months ","$350,000.00",11/01/22
314, Woodlands St 31,10 to 12,"73.00
Model A",1993,"69 years
11 months ","$390,888.00",11/01/22
316, Woodlands St 31,01 to 03,"73.00
Model A",1993,"69 years
7 months ","$357,500.00",11/01/22
31, Marsiling Dr,04 to 06,"73.00
New Generation",1977,"53 years
8 months ","$308,000.00",10/01/22
202, Marsiling Dr,10 to 12,"68.00
New Generation",1981,"57 years
9 months ","$288,000.00",10/01/22
17, Marsiling Lane,10 to 12,"75.00
Improved",1984,"61 years
1 month ","$330,000.00",10/01/22
129, Marsiling Rise,04 to 06,"69.00
Improved",1985,"61 years
4 months ","$345,000.00",10/01/22
693A, Woodlands Ave 6,01 to 03,"68.00
Model A",2018,95 years,"$410,000.00",10/01/22
573B, Woodlands Dr 16,04 to 06,"68.00
Model A",2018,"94 years
9 months ","$415,000.00",10/01/22
573B, Woodlands Dr 16,04 to 06,"68.00
Model A",2018,"94 years
9 months ","$425,000.00",10/01/22
573C, Woodlands Dr 16,01 to 03,"68.00
Model A",2018,"94 years
9 months ","$410,000.00",10/01/22
574B, Woodlands Dr 16,04 to 06,"68.00
Model A",2018,"94 years
9 months ","$420,000.00",10/01/22
574B, Woodlands Dr 16,10 to 12,"68.00
Model A",2018,"94 years
9 months ","$445,000.00",10/01/22
784B, Woodlands Rise,10 to 12,"68.00
Model A",2018,"94 years
10 months ","$410,000.00",10/01/22
101, Woodlands St 13,04 to 06,"67.00
New Generation",1985,"61 years
7 months ","$348,000.00",10/01/22
151, Woodlands St 13,10 to 12,"73.00
Model A",1985,"61 years
6 months ","$380,000.00",10/01/22
158, Woodlands St 13,04 to 06,"73.00
Model A",1990,"66 years
8 months ","$370,000.00",10/01/22
302A, Woodlands St 31,04 to 06,"67.00
Model A",2016,"93 years
1 month ","$448,000.00",10/01/22
419, Woodlands St 41,01 to 03,"68.00
New Generation",1995,"72 years
1 month ","$365,000.00",10/01/22
1, Marsiling Dr,10 to 12,"65.00
Improved",1974,"50 years
11 months ","$288,000.00",09/01/22
2, Marsiling Dr,10 to 12,"65.00
Improved",1974,"50 years
11 months ","$315,000.00",09/01/22
23, Marsiling Dr,04 to 06,"67.00
New Generation",1977,"54 years
3 months ","$305,000.00",09/01/22
23, Marsiling Dr,04 to 06,"67.00
New Generation",1977,"54 years
3 months ","$315,000.00",09/01/22
32, Marsiling Dr,04 to 06,"73.00
New Generation",1980,"56 years
5 months ","$318,000.00",09/01/22
206, Marsiling Dr,04 to 06,"68.00
New Generation",1981,"57 years
8 months ","$308,888.00",09/01/22
13, Marsiling Lane,10 to 12,"76.00
Improved",1976,"52 years
7 months ","$330,000.00",09/01/22
15, Marsiling Lane,01 to 03,"65.00
Improved",1976,"52 years
4 months ","$280,000.00",09/01/22
15, Marsiling Lane,13 to 15,"65.00
Improved",1976,"52 years
5 months ","$290,000.00",09/01/22
